Record_Type,Current_Location,Animal_Name,Age,Animal_Gender,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,Memo,animal_type,Animal_Breed,id
FOUND,In Public Home,Unknown,Over 1 year<p/>,Female,Brown,20-Jul-25,Date Found,SE  10th Pl & 148th Dr SE,Bellevue,WA,98007,"Description: Small brown dog with no collar. Long scar down right leg and slight limp on left leg.<p/>Age: Over 1 year<p/>Found Near: 10th and 148th, Bellevue, Bellevue WA  98007<p/>Found Date: 2025-07-20<p/>",Dog,Australian Cattle Dog,732340
FOUND,In Public Home,,Over 1 year<p/>,Male,Unknown,20-Jul-25,Date Found,98001 98001,,WA,98001,"<p/>Age: Over 1 year<p/>Found Near: SW 336th way, Federal Way WA  98023<p/>Found Date: 2025-07-20<p/>",Dog,Pomeranian,732344
FOUND,In Public Home,,Unknown<p/>,Male,Unknown,21-Jul-25,Date Found,12900 block of  SE 217TH PL,Kent,WA,98031,<p/>Age: Unknown<p/>Found Near: 12900 block of  SE 217TH PL<p/>Found Date: 2025-07-21<p/>,Dog,Standard Poodle,732349
LOST,LOST,Ollivander,Over 1 year<p/>,Male,White,18-Jul-25,Date Lost,14400 block of  8TH AVE S,Burien,WA,98168,"Description: White cat with Black patch on his Head and Tail. He is a little timid/shy and about 13-14 years old. <p/>Age: Over 1 year<p/>Location Lost: 14404 8th Ave. S., Seattle WA  98168<p/>Lost Date: 2025-07-18<p/>",Cat,Turkish Van,732358
FOUND,In Public Home,,Over 1 year<p/>,Male,White,19-Jul-25,Date Found,300 block of  S St SE,Auburn,WA,98002,"Description: White and brindle pit bull mix. Black collar with rainbows on it<p/>Age: Over 1 year<p/>Found Near: 150th ave se & 38th st se, Bellevue WA  98006<p/>Found Date: 2025-07-19<p/>",Dog,American Pit Bull Terrier,732365
LOST,LOST,Winter,Over 1 year<p/>,Male,Black,17-Jul-25,Date Lost,2nd  Ave N & W Cole St,Kent,WA,98032,"Description: Winter is a neutered 2-year-old male short hair black cat. He is small and slender with very big yellow green eyes.<p/>Age: Over 1 year<p/>Location Lost: 2nd Ave N and Cole St, Kent WA  98032<p/>Lost Date: 2025-07-17<p/>",Cat,Domestic Shorthair,732390
ADOPTABLE,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Billy,4 YEARS,Neutered Male,Tan / White,7-Aug-25,Received on,,,WA,,"Received on: 2025-08-07<p/> Description: Tan / White<p/>  Neutered Male Terrier / Mix Dog<p/> Age: 4 YEARS<p/> Adoption Fee: $30.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Billy and I am available for adoption.<p/><p/>I was brought into RASKC on July 21, 2025. I was adopted and returned on August 7, 2025 because it was not a good fit.<p/><p/>I weigh 12.0 lbs and am considered a ""small breed"" dog.<p/><p/>When I arrived at RASKC I was severely matted, but after a much needed shave down from the wonderful vet staff I am now comfortable and quite adorable if I do say so myself!<p/><p/>I am small, but full of energy and I love to play! I tend to calm down more when the people around me stay calm. I do best when I have lots of exercise and something to keep my mind busy. Due to my spunky personality I would best in a home without younger children.<p/><p/>I am a spirited dog with a fun-loving personality! I am still working on my manners, so I would do best with a family who is willing to work with me and help me become the best dog I can be!<p/>",Dog,Terrier / Mix,732420
FOUND,In Public Home,,Unknown<p/>,Female,Unknown,21-Jul-25,Date Found,10th  Ave SW & SW Cloverdale St,Seattle,WA,98106,"Description: Almost Calico, small, very skinny, very out going and friendly.<p/>Age: Unknown<p/>Found Near: 10th Avenue and Cloverdale, Seattle WA  98106<p/>Found Date: 2025-07-21<p/>",Cat,American Shorthair,732438
FOUND,In Public Home,,Unknown<p/>,Female,Unknown,21-Jul-25,Date Found,10th  Ave SW & SW Cloverdale St,Seattle,WA,98106,"Description: Almost Calico, small, very skinny, very out going and friendly.<p/>Age: Unknown<p/>Found Near: 10th Avenue and Cloverdale, Seattle WA  98106<p/>Found Date: 2025-07-21<p/>",Cat,American Shorthair,732439
LOST,LOST,Naya,Over 1 year<p/>,Female,White,21-Jul-25,Date Lost,170th  Pl SE & SE 257th Pl,Covington,WA,98042,"Description: Naya is about 2 I believe.  She’s my brothers dog.  He’s on vacation.  She is part Pitty and Austrian shepherd.  She is skidish.  Not a biter though.<p/>Age: Over 1 year<p/>Location Lost: 170th and 257th, Kent WA  98042<p/>Lost Date: 2025-07-21<p/>",Dog,Australian Shepherd,732440
LOST,LOST,Binx,Over 1 year<p/>,Male,Brown,21-Jul-25,Date Lost,32700 block of  19TH PL S,FEDERAL WAY,WA,98003,"Description: Black cat, 1 year old, medium size, green eyes<p/>Age: Over 1 year<p/>Location Lost: 32720 19th PL S Federal way , Federal Way WA  98003<p/>Lost Date: 2025-07-21<p/>",Cat,American Shorthair,732441
FOUND,In Public Home,,Unknown<p/>,Unknown,Unknown,21-Jul-25,Date Found,2100 block of  S 263RD ST,DES MOINES,WA,98198,Description: Black adult rabbit <p/>Age: Unknown<p/>Found Near: 2100 block of  S 263RD ST<p/>Found Date: 2025-07-21<p/>,Rabbit,,732443
LOST,LOST,Oreo,Over 1 year<p/>,Female,Unknown,20-Jul-25,Date Lost,51st  Ave S & Renton Ave S,Seattle,WA,98118,"Description: Oreo is a beautiful cat- she has gray, black, and white markings. She has green eyes. She is kinda lean but a good sign cat. Weighs about 13-15lbs. <p/>Age: Over 1 year<p/>Location Lost: 51st and Renton Ave., Seattle WA  98118<p/>Lost Date: 2025-07-20<p/>",Cat,Maine Coon,732444
FOUND,In Public Home,,Unknown<p/>,Unknown,Unknown,21-Jul-25,Date Found,2100 block of  S 263RD ST,Des Moines,WA,98198,Description: Black adult hava<p/>Age: Unknown<p/>Found Near: 2100 block of  S 263RD ST<p/>Found Date: 2025-07-21<p/>,Rabbit,,732446
LOST,LOST,Naya,Over 1 year<p/>,Female,White,21-Jul-25,Date Lost,170th  Pl SE & SE 257th Pl,Covington,WA,98042,"Description: Naya is about 2 I believe.  She’s my brothers dog.  He’s on vacation.  She is part Pitty and Austrian shepherd.  She is skidish.  Not a biter though.<p/>Age: Over 1 year<p/>Location Lost: 170th and 257th, Kent WA  98042<p/>Lost Date: 2025-07-21<p/>",Dog,Australian Shepherd,732447
LOST,LOST,Meme,Over 1 year<p/>,Female,White,12-Jul-25,Date Lost,S.291ST  STREET,,WA,,"<p/>Age: Over 1 year<p/>Location Lost: S.291st street , Federal Way WA  98003<p/>Lost Date: 2025-07-12<p/>",Cat,Scottish Fold,732453
LOST,LOST,Cookie,Over 1 year<p/>,Male,White,16-Jul-25,Date Lost,982 982,,WA,982,"<p/>Age: Over 1 year<p/>Location Lost: 982, Bellevue WA  98004<p/>Lost Date: 2025-07-16<p/>",Cat,Ragdoll,732457
ADOPTABLE,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Gami,4 YEARS,Neutered Male,Tan,22-Jul-25,Received on,,,WA,,"Received on: 2025-07-22<p/> Description: Tan<p/>  Neutered Male Australian Cattle Dog / Mix Dog<p/> Age: 4 YEARS<p/> Adoption Fee: $30<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Gami and I am available for adoption!<p/><p/>I am a sweet, outgoing guy, but I have to warm up to the idea of you first. I am a bit bashful with strangers, so it is best to take things slow with me, and when introducing me to friends. Once I get to know you, I become a playful, bouncy guy.<p/><p/>I am a bit overweight, so I'd consider myself to be a hefty medium sized dog. You could also say I am on the small side of large.<p/><p/>You can visit me at the Pet Adoption Center on weekdays from 12:00 pm to 5:00 pm, Saturdays and Sundays from 12:00 pm to 4:00 pm. <p/><p/>The Pet Adoption Center is located at 21615 64th Ave S, Kent, WA 98032.<p/><p/>Come and visit me today, I'd love to go home with you!<p/>",Dog,Australian Cattle Dog / Mix,732473
FOUND,In Public Home,,Over 1 year<p/>,Male,Black,22-Jul-25,Date Found,16th  Ave S & S 250th St,Des Moines,WA,98198,"Description: Older black lab. Lots of Grey. Skinny. <p/>Age: Over 1 year<p/>Found Near: 16th Ave s and s 250th st, Seattle WA  98198<p/>Found Date: 2025-07-22<p/>",Dog,Labrador Retriever,732476
LOST,LOST,Nutmeg,Over 1 year<p/>,Female,Unknown,16-Jul-25,Date Lost,13th  Ave SW & SW Myrtle St,Seattle,WA,98106,"Description: Short hair calico/tortie  Very friendly, on the smaller side <p/>Age: Over 1 year<p/>Location Lost: 13th Ave SW and SW Myrtle , Seattle WA  98106<p/>Lost Date: 2025-07-16<p/>",Cat,American Shorthair,732480
FOUND,In Public Home,We’ve Been C,Over 1 year<p/>,Male,Black,22-Jul-25,Date Found,PACIFIC  HIGHWAY AND 330TH,,WA,,"Description: all black with a large white patch on his chest, aprox a year old<p/>Age: Over 1 year<p/>Found Near: pacific highway and 330th, Federal Way WA  98003<p/>Found Date: 2025-07-22<p/>",Dog,Australian Shepherd,732482
LOST,LOST,Noo,Over 1 year<p/>,Female,Unknown,20-Jul-25,Date Lost,11400 block of  RAINIER AVE S,,WA,98178,"<p/>Age: Over 1 year<p/>Location Lost: 11416 Rainier AVE S TRLR 30, Seattle WA  98178<p/>Lost Date: 2025-07-20<p/>",Cat,Domestic Shorthair,732490
FOUND,In Public Home,Tamela Mikes,Unknown<p/>,Unknown,White,22-Jul-25,Date Found,98092 98092,,WA,98092,"Description: 2 Huskies Found. They are a bonded pair. I’ve been able to capture one but the other is skittish. 1 has 1 eye blue and the other brown. Very heavy coats. I hope to take the one in I’ve captured for a microchip. <p/>Age: Unknown<p/>Found Near: Lake Holm Dr SE, Auburn WA  98092<p/>Found Date: 2025-07-22<p/>",Dog,Alaskan Husky,732494
LOST,LOST,Juno,Under 1 year<p/>,Female,Unknown,22-Jul-25,Date Lost,WILDWOOD  BLVD SW,,WA,,"Description: She has distinctive markings along her body, some of the ones on her back are straight lines that go across her spine and then the ones on the side are circles. She has slight white on her  face along her chin. She is very hyper and skittish. <p/>Age: Under 1 year<p/>Location Lost: Wildwood Blvd SW, Issaquah WA  98027<p/>Lost Date: 2025-07-22<p/>",Cat,Maine Coon,732504
FOUND,In Public Home,We’ve Been C,Over 1 year<p/>,Male,Black,22-Jul-25,Date Found,PACIFIC  HIGHWAY AND 330TH,,WA,,"Description: all black with a large white patch on his chest, aprox a year old<p/>Age: Over 1 year<p/>Found Near: pacific highway and 330th, Federal Way WA  98003<p/>Found Date: 2025-07-22<p/>",Dog,Australian Shepherd,732533
LOST,LOST,Tico,Over 1 year<p/>,Male,White,22-Jul-25,Date Lost,64TH  AND FAWCETT,,WA,,"Description: Blonde with oranger tail. Had moles <p/>Age: Over 1 year<p/>Location Lost: 64th and Fawcett, Tacoma WA  98408<p/>Lost Date: 2025-07-22<p/>",Dog,Chihuahua - Smooth Coated,732539
LOST,LOST,Angela Wood,Over 1 year<p/>,Female,White,13-Jul-25,Date Lost,3300 block of  228TH ST SE AND 31ST,,WA,,"Description: She is an 8.5 year old spayed female. White with tabby markings on face, tail- which has a crook, and on her two sides/back. Green eyes, little pink nose. Coal rimmed eyes.<p/>Age: Over 1 year<p/>Location Lost: 3333 228th ST SE and 31st , Bothell WA  98021<p/>Lost Date: 2025-07-13<p/>",Cat,Domestic Shorthair,732540
FOUND,In Public Home,,Unknown<p/>,Female,White,22-Jul-25,Date Found,,,WA,,Description: White dog with brown spots and pointy ears<p/>Age: Unknown<p/>Found Near:  <p/>Found Date: 2025-07-22<p/>,Dog,Jack Russell Terrier,732543
LOST,LOST,Luna,Over 1 year<p/>,Female,Unknown,22-Jul-25,Date Lost,SE  244th St & 109th Pl SE,Kent,WA,98030,"Description: She’s a gray and white cat with a distinct gray spot on her nose and big blue eyes. <p/>Age: Over 1 year<p/>Location Lost: SE 244th St and 109th PL SE, Kent WA  98030<p/>Lost Date: 2025-07-22<p/>",Cat,Domestic Shorthair,732546
LOST,LOST,King,Unknown<p/>,Male,Unknown,20-Jul-25,Date Lost,AMBAUM  BLVD SW & SW 126TH ST,,WA,,"Description: King is a very friendly, 1yr and 2mo old, intact male, 54lb, dark grey pit bull terrier with a white blaze on his chest and stomach, white “sock” markings on his feet, with orange-ish/yellow eyes. He’s wearing a black fabric collar with AC/DC written repeatedly across it in white and yellow text. <p/>Age: Unknown<p/>Location Lost: Ambaum Blvd SW & SW 126th St, Seattle WA  98146<p/>Lost Date: 2025-07-20<p/>",Dog,Pit Bull,732547
LOST,LOST,Puck,Over 1 year<p/>,Male,Unknown,21-Jul-25,Date Lost,SW  349th Pl & 28th Pl SW,Federal Way,WA,98023,"Description: Puck is very shy and walks with his tail tucked between his legs. Brindle colored black with brown wiry hair. Was wearing green/blue harness with no collar. <p/>Age: Over 1 year<p/>Location Lost: S 349th St and S 28th St. Federal Way, Federal Way WA  98003<p/>Lost Date: 2025-07-21<p/>",Dog,Chow Chow,732555
LOST,LOST,,Over 1 year<p/>,Female,Brown,24-Jul-25,Date Lost,21200 block of  84TH AVE S,Kent,WA,98032,"Description: Pitsky pit bull husky mix. She is brown with blue eyes. She has a short coat like a pit bull. She has a bright orange collar on here neck. Her name is pretty girl. She got out my car at arco without me noticing. Please call me if you see her. She is not aggressive pretty friendly.<p/>Age: Over 1 year<p/>Location Lost: 21214 84th Ave S,, Kent WA  98032<p/>Lost Date: 2025-07-24<p/>",Dog,Siberian Husky,732556
LOST,LOST,Girl,Over 1 year<p/>,Female,Brown,24-Jul-25,Date Lost,S  212th St & 84th Ave S,Kent,WA,98032,"Description: Pit bull husky mix. She is brown with blue eyes she has a chip and a loving home with a orange rubber collar around her neck.. she is microchipped <p/>Age: Over 1 year<p/>Location Lost: 212th and 84th street , Kent WA  98032<p/>Lost Date: 2025-07-24<p/>",Dog,Pit Bull,732558
LOST,LOST,Jasper,Over 1 year<p/>,Male,Unknown,23-Jul-25,Date Lost,Roosevelt  Ave & Farrelly St,Enumclaw,WA,98022,"Description: Jasper is Orange and fades into a yellow, He is a larger cat, with green eyes<p/>Age: Over 1 year<p/>Location Lost: Roosevelt Ave and Farrelly St, Enumclaw WA  98022<p/>Lost Date: 2025-07-23<p/>",Cat,Domestic Longhair,732565
LOST,LOST,Riggs,Over 1 year<p/>,Male,Unknown,21-Jul-25,Date Lost,S  251st St & 13th Pl S,Des Moines,WA,98198,"Description: Domestic Medium Hair Tabby, Gray/white/black<p/>Age: Over 1 year<p/>Location Lost: 251st and 13th Ave S., Seattle WA  98198<p/>Lost Date: 2025-07-21<p/>",Cat,Domestic Mediumhair,732568
LOST,LOST,Miko,Over 1 year<p/>,Male,Unknown,24-Jul-25,Date Lost,18600 block of  REDMOND WAY,Redmond,WA,98052,"Description: Male tuxedo cat with the softest fur you'll ever feel, vivid amber eyes, and answers audibly to his name when he's calm/content. Loves food and treats. Absolutely goes nuts for watermelon, pineapple, and cheese sticks (just to name a few for good lure foods). <p/>Age: Over 1 year<p/>Location Lost: 18666 Redmond Way, Redmond WA  98052<p/>Lost Date: 2025-07-24<p/>",Cat,American Shorthair,732580
ADOPTABLE,In RASKC Foster Home,Valero,10 WEEKS,Spayed Female,Gray,24-Jul-25,Received on,21615 64TH AVE S,KENT,WA,98032,"Received on: 2025-07-24<p/> Description: Gray Spayed Female Domestic Longhair Cat<p/> Age: 10 WEEKS<p/> Adoption Fee: $100.00<p/> Current Location: In RASKC Foster Home <p/>Hi! My name is Valero and I am available for adoption.<p/><p/>I was brought in by a good samaritan on July 24, 2025 along with my sister Sinclair (A732585)<p/><p/>I haven't had the most human interaction before arriving to RASKC so I can be quite timid. I am looking for a patient family that understands I am still learning to trust people. Because of my shy nature, I would do best in a calm, quiet home. When I go to my new home it is important to be patient with me and allow me time to acclimate to my new environment at my own speed. It is best to keep me in a smaller, quiet room, with my food, bed, and litterbox until I am comfortable and confident enough to start exploring the rest of my home.<p/><p/>I am a gentle and spirited kitten. I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/>You can visit me at the Pet Adoption Center on weekdays from 12:00 pm to 5:00 pm, Saturdays and Sundays from 12:00 pm to 4:00 pm. <p/><p/>The Pet Adoption Center is located at 21615 64th Ave S, Kent, WA 98032.<p/><p/>Come and visit me today, I'd love to go home with you!<p/>",Cat,Domestic Longhair,732584
ADOPTABLE,In RASKC Foster Home,Sinclair,10 WEEKS,Spayed Female,Gray,24-Jul-25,Received on,21615 64TH AVE S,KENT,WA,98032,"Received on: 2025-07-24<p/> Description: Gray Spayed Female Domestic Longhair Cat<p/> Age: 10 WEEKS<p/> Adoption Fee: $100.00<p/> Current Location: In RASKC Foster Home <p/>Hi! My name is Sinclair and I am available for adoption.<p/><p/>I was brought in by a good samaritan on July 24, 2025 along with my sister Valero (A732584)<p/><p/>I haven't had the most human interaction before arriving to RASKC so I can be quite timid. I am looking for a patient family that understands I am still learning to trust people. Because of my shy nature, I would do best in a calm, quiet home. When I go to my new home it is important to be patient with me and allow me time to acclimate to my new environment at my own speed. It is best to keep me in a smaller, quiet room, with my food, bed, and litterbox until I am comfortable and confident enough to start exploring the rest of my home.<p/><p/>I am a gentle and spirited kitten. I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/>You can visit me at the Pet Adoption Center on weekdays from 12:00 pm to 5:00 pm, Saturdays and Sundays from 12:00 pm to 4:00 pm. <p/><p/>The Pet Adoption Center is located at 21615 64th Ave S, Kent, WA 98032.<p/><p/>Come and visit me today, I'd love to go home with you!<p/>",Cat,Domestic Longhair,732585
LOST,LOST,98108,Over 1 year<p/>,Female,White,23-Jul-25,Date Lost,18000 block of  32ND AVE S,SeaTac,WA,98188,"Description: She is all white green eyes pink toes<p/>Age: Over 1 year<p/>Location Lost: 18055 32nd Ave south, Seattle WA  98188<p/>Lost Date: 2025-07-23<p/>",Cat,Maine Coon,732595
LOST,LOST,Tezca Aka Ta,Over 1 year<p/>,Male,Unknown,4-Jul-25,Date Lost,SILVAN  VIEW AND PARK DRIVE,,WA,,"Description: Cream colored. Thick coat for a shorthair. <p/>Age: Over 1 year<p/>Location Lost: Silvan View and Park Drive, Olympia WA  98512<p/>Lost Date: 2025-07-04<p/>",Cat,Domestic Shorthair,732612
FOUND,In Public Home,,Over 1 year<p/>,Female,Brown,25-Jul-25,Date Found,"ENUMCLAW, ENUMCLAW",NEAR ESPRESSO STOP,WA,,"Description: Boy, very sweet, Tabi cat<p/>Age: Over 1 year<p/>Found Near: Enumclaw, Wa near Espresso Stop Cafe , Enumclaw WA  98022<p/>Found Date: 2025-07-25<p/>",Cat,Domestic Shorthair,732622
ADOPTABLE,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Juan,3 YEARS,Spayed Female,Brn Tabby / White,25-Jul-25,Received on,,,WA,,"Received on: 2025-07-25<p/> Description: Brn Tabby / White<p/>  Spayed Female Domestic Shorthair Cat<p/> Age: 3 YEARS<p/> Adoption Fee: $30.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is  Juan and I am available for adoption!<p/><p/>You can visit me at the Pet Adoption Center on weekdays from 12:00 pm to 5:00 pm, Saturdays and Sundays from 12:00 pm to 4:00 pm. <p/><p/>The Pet Adoption Center is located at 21615 64th Ave S, Kent, WA 98032.<p/><p/>I am shy, and will take time to come around, My Pal Melody A732629 helps me come out of my shell we would love to be adopted with eachother. <p/><p/><p/>Come and visit me today, I'd love to go home with you!<p/>",Cat,Domestic Shorthair,732631
LOST,LOST,Money Penny,Over 1 year<p/>,Female,Unknown,25-Jul-25,Date Lost,20000 block of  1ST PL S,Des Moines,WA,98198,"Description: No collar, microchipped. Lost midway during cat sitting. She is 14 yo and needs a kidney pill, antibiotics, appetite stimulant, and fluid therapy. <p/>Age: Over 1 year<p/>Location Lost: 20012 1st Place South, Seattle WA  98198<p/>Lost Date: 2025-07-25<p/>",Cat,Domestic Longhair,732641
LOST,LOST,Fluffy,Unknown<p/>,Female,Unknown,8-Jul-25,Date Lost,19300 block of  6TH AVE S,Des Moines,WA,98148,"Description: Skittish, Blue Eyes, no tail, White, Brown, and black<p/>Age: Unknown<p/>Location Lost: 19305 6th Ave S, Seattle WA  98148<p/>Lost Date: 2025-07-08<p/>",Cat,Siamese,732646
LOST,LOST,Prince,Over 1 year<p/>,Male,Unknown,24-Jul-25,Date Lost,RAN  OUT OF HOUSE,,WA,,"Description: He is overweight a grey tabby colour, has green eyes with a m shaped strip on his head, nails are not clipped, responds a high whistle and three tongue clicks and then prince. Neutered <p/>Age: Over 1 year<p/>Location Lost: Ran out of house , Langley BC  V3A 4T8<p/>Lost Date: 2025-07-24<p/>",Cat,Domestic Shorthair,732655
LOST,LOST,Prince,Over 1 year<p/>,Male,Unknown,24-Jul-25,Date Lost,RAN  OUT OF HOUSE,,WA,,"Description: He is overweight a grey tabby colour, has green eyes with a m shaped strip on his head, nails are not clipped, responds a high whistle and three tongue clicks and then prince. Neutered <p/>Age: Over 1 year<p/>Location Lost: Ran out of house , Langley BC  V3A 4T8<p/>Lost Date: 2025-07-24<p/>",Cat,Domestic Shorthair,732656
LOST,LOST,Cirilla,Under 1 year<p/>,Female,White,25-Jul-25,Date Lost,NE  70TH COURT & 148TH AVENUE NE,Redmond,WA,98052,"Description: Mainly white kitty with black tail black on one eye and a black spot on her back<p/>Age: Under 1 year<p/>Location Lost: 70th and 148th, Redmond WA  98052<p/>Lost Date: 2025-07-25<p/>",Cat,American Shorthair,732662
FOUND,In Public Home,,Under 1 year<p/>,Unknown,Black,25-Jul-25,Date Found,LAKELAND  HILLS WAY & A STREET,,WA,,"Description: Black lab mix with a Large breed of dog, I think still a puppy? Very skittish and hungry.<p/>Age: Under 1 year<p/>Found Near: Lakeland hills way & A street, Auburn WA  98092<p/>Found Date: 2025-07-25<p/>",Dog,Labrador Retriever,732663
FOUND,In Public Home,,Over 1 year<p/>,Male,Unknown,26-Jul-25,Date Found,13200 block of  SE EASTGATE WAY,Bellevue,WA,98005,Description: Orange and white cat Found in tan and marroon carrier. <p/>Age: Over 1 year<p/>Found Near: 13200 block of  SE EASTGATE WAY<p/>Found Date: 2025-07-26<p/>,Cat,Domestic Shorthair,732666
LOST,LOST,Leo,Under 1 year<p/>,Male,Brown,23-Jul-25,Date Lost,92ND  AND 212 GRAHAM,,WA,,"Description: Basic Siamese ragdoll markings with both front paws marked with identical, white tips<p/>Age: Under 1 year<p/>Location Lost: 92nd and 212 graham, Graham WA  98338<p/>Lost Date: 2025-07-23<p/>",Cat,Ragdoll,732669
LOST,LOST,Coa Coa,Over 1 year<p/>,Male,White,18-Jul-25,Date Lost,18700 block of  SE 268TH ST,Covington,WA,98042,"<p/>Age: Over 1 year<p/>Location Lost: 18730 se 268th st Covington Washington  98o42, Kent WA  98042<p/>Lost Date: 2025-07-18<p/>",Dog,Chihuahua - Smooth Coated,732680
LOST,LOST,Abbey,Under 1 year<p/>,Female,Unknown,26-Jul-25,Date Lost,S300TH  PL AND 43RD,,WA,,"<p/>Age: Under 1 year<p/>Location Lost: S300th Pl and 43rd, Auburn WA  98001<p/>Lost Date: 2025-07-26<p/>",Dog,Miniature Schnauzer,732711
LOST,LOST,Almond,Over 1 year<p/>,Female,Unknown,26-Jul-25,Date Lost,14800 block of  SE 22ND ST,Bellevue,WA,98007,"Description: Tricolor: black, brown, white; wearing a donut cone because she has 2 hotspots on the sides of her face/neck; she has white spots on her back and brown spots on her front legs; about 27.5 lbs<p/>Age: Over 1 year<p/>Location Lost: 14844 SE 22nd St Bellevue, WA , Bellevue WA  98007<p/>Lost Date: 2025-07-26<p/>",Dog,Beagle,732715
LOST,LOST,Buddy,Over 1 year<p/>,Male,Brown,19-Jul-25,Date Lost,BEACON  AVENUE SOUTH & SOUTH WALLACE STREET,,WA,,"<p/>Age: Over 1 year<p/>Location Lost: Beacon Avenue South & South Wallace Street , Seattle WA  98178<p/>Lost Date: 2025-07-19<p/>",Dog,Miniature Bull Terrier,732720
FOUND,In RASKC Foster Home,Cecilia,10 WEEKS,Spayed Female,Tortie,27-Jul-25,Received on,46100 block of  284TH AVE SE,ENUMCLAW,WA,98022,Received on: 2025-07-27<p/> Found Near: 46100 block of  284TH AVE SE<p/> Description: Tortie Spayed Female Domestic Shorthair Cat<p/> Age: 10 WEEKS<p/> Current Location: In RASKC Foster Home <p/>,Cat,Domestic Shorthair,732735
FOUND,In RASKC Foster Home,,9 WEEKS,Male,Org Tabby,27-Jul-25,Received on,2100 block of  S 250TH ST,KENT,WA,98032,Received on: 2025-07-27<p/> Found Near: 2100 block of  S 250TH ST<p/> Description: Org Tabby Male Domestic Shorthair Cat<p/> Age: 9 WEEKS<p/> Current Location: In RASKC Foster Home <p/>,Cat,Domestic Shorthair,732737
FOUND,In RASKC Foster Home,,9 WEEKS,Male,Black,27-Jul-25,Received on,2100 block of  S 250TH ST,KENT,WA,98032,Received on: 2025-07-27<p/> Found Near: 2100 block of  S 250TH ST<p/> Description: Black Male Domestic Shorthair Cat<p/> Age: 9 WEEKS<p/> Current Location: In RASKC Foster Home <p/>,Cat,Domestic Shorthair,732738
LOST,LOST,Abbey,Under 1 year<p/>,Female,Unknown,26-Jul-25,Date Lost,S300TH  PL AND 43RD,,WA,,"<p/>Age: Under 1 year<p/>Location Lost: S300th Pl and 43rd, Auburn WA  98001<p/>Lost Date: 2025-07-26<p/>",Dog,Miniature Schnauzer,732750
LOST,LOST,Luna,Over 1 year<p/>,Female,Black,27-Jul-25,Date Lost,9500 block of  166TH AVE NE,Redmond,WA,98052,"Description: Large all black female Maine coon ragdoll mix, Yellow eyes, long hair and long tail<p/>Age: Over 1 year<p/>Location Lost: 9580 166th Avenue Northeast, Redmond WA  98052<p/>Lost Date: 2025-07-27<p/>",Cat,Maine Coon,732753
LOST,LOST,Luna,Over 1 year<p/>,Female,Black,27-Jul-25,Date Lost,9500 block of  166TH AVE NE,Redmond,WA,98052,"Description: Large all black female Maine coon ragdoll mix, Yellow eyes, long hair and long tail<p/>Age: Over 1 year<p/>Location Lost: 9580 166th Avenue Northeast, Redmond WA  98052<p/>Lost Date: 2025-07-27<p/>",Cat,Maine Coon,732754
LOST,LOST,Lulu,Over 1 year<p/>,Female,Brown,27-Jul-25,Date Lost,NE  BEL-RED AND 158TH PL ME,,WA,,"Description: 2 y.o. boxer female, Brendan breed, very friendly.<p/>Age: Over 1 year<p/>Location Lost: NE Bel-Red and 158th Pl ME, Bellevue WA  98008<p/>Lost Date: 2025-07-27<p/>",Dog,Boxer,732757
FOUND,In Public Home,,Unknown<p/>,Male,White,27-Jul-25,Date Found,98001 98001,,WA,98001,"<p/>Age: Unknown<p/>Found Near: Wapato park, Lakewood WA  98499<p/>Found Date: 2025-07-27<p/>",Dog,Chihuahua - Smooth Coated,732759
FOUND,In Public Home,,Over 1 year<p/>,Male,White,27-Jul-25,Date Found,98001 98001,,WA,98001,"Description: No chip no collar male<p/>Age: Over 1 year<p/>Found Near: 65th and Sheraton wapato park, Lakewood WA  98499<p/>Found Date: 2025-07-27<p/>",Dog,Chihuahua - Smooth Coated,732760
FOUND,In Public Home,,Unknown<p/>,Unknown,Unknown,14-Jul-25,Date Found,S  348th St & 46th Ave S,King County,WA,98001,"Description: Small Orange tabby with fluffy tail. White feet/chest. Skittish but friendly. Possibly male.  No chip.<p/>Age: Unknown<p/>Found Near: S 348th and 46 Ave S, Auburn WA  98001<p/>Found Date: 2025-07-14<p/>",Cat,Domestic Mediumhair,732762
LOST,LOST,Pearl,Over 1 year<p/>,Female,Unknown,26-Jul-25,Date Lost,25800 block of  114TH PL SE,Kent,WA,98030,"Description: Smaller in size, black with white toes and white scarf. Very sweet, yellow eyes. <p/>Age: Over 1 year<p/>Location Lost: 25815 114TH PL SE APT D101, Kent WA  98030<p/>Lost Date: 2025-07-26<p/>",Cat,Domestic Shorthair,732809
